tgt_Y,tgt_M,tgt_D,tgt_tz,temperature,humidity,windspeed,winddirection,6hrain,6hsnow,rainprobability,raintype,seawave,skystatus,ss_numberofturbineinuse,ss
2014,1,17,6,3,75,4.7,332,0,0,30,0,0.5,3,9.166666667,878.6123333
2014,1,17,7,3.9,70,4.8,346,1,0,30,2,0.5,3,7.166666667,424.187
2014,1,18,0,5.1,66,4.7,340,0,0,20,0,0.5,3,4.666666667,1611.980333
2014,1,18,1,7.1,56,4.5,323,0,0,21,0,1,3,10,11574.449
2014,1,18,2,7,50,5.4,325,0,0,21,0,1,3,10,5491.255333
2014,1,18,3,5.1,55,6.9,332,0,0,21,0,1,3,10,9627.546333
2014,1,18,4,3,56,5.4,336,0,0,21,0,1,3,10,15169.47567
2014,1,18,5,1.8,60,5.4,345,0,0,10,0,1,2,10,18227.86867
2014,1,18,6,1.9,60,4.2,342,0,0,10,0,1,2,9.555555556,18590.282
2014,1,18,7,1,65,3,343,0,0,10,0,1,2,8.944444444,17798.97733
2014,1,19,0,4.1,60,4.4,348,0,0,10,0,0.5,2,8.944444444,16997.22033
2014,1,19,1,6.9,50,2.1,6,0,0,10,0,0.5,2,9,8890.015333
2014,1,19,2,6.8,55,1.8,330,0,0,10,0,0.5,2,9,4397.712333
2014,1,19,3,4.7,60,1.9,4,0,0,10,0,0.5,2,9.555555556,3965.932
2014,1,19,4,5.9,69,2,273,0,0,20,0,0.5,3,9.277777778,942.6366667
2014,1,19,5,4.8,75,3.2,264,0,0,20,0,0.5,3,5.555555556,302.9423333
2014,1,19,6,5,70,3.5,232,0,0,30,0,0.5,4,1.833333333,82.86066667
2014,1,19,7,5.8,65,4.6,231,0,0,30,0,0.5,4,9.666666667,1955.732
2014,1,20,0,8,71,4.3,250,0,0,20,0,0.5,4,8.888888889,953.4186667
2014,1,20,1,10.2,55,4.7,294,0,0,20,0,0.5,3,5,244.1743333
2014,1,20,2,9,50,5.5,297,0,0,21,0,0.5,3,5.888888889,1550.457667
2014,1,20,3,6,55,5.9,302,0,0,21,0,0.5,3,10,1576.386333
2014,1,20,4,3,60,7.9,318,0,0,20,0,1,3,10,6684.1
2014,1,20,5,2.1,66,6.3,327,0,0,20,0,1,3,10,11993.46533
2014,1,20,6,1,65,6.7,320,1,1,30,0,1,3,10,12864.38433
2014,1,20,7,1,70,7.6,311,1,1,62,3,1,3,10,15582.84967
2014,1,21,0,1.2,68,5.8,319,1,1,62,3,1,3,10,10505.983
2014,1,21,1,2.1,66,4.4,322,1,1,60,3,1,3,10,13207.47867
2014,1,21,2,2.1,65,6.6,323,1,1,63,3,1,3,10,13434.42967
2014,1,21,3,1.1,66,5.6,330,1,1,61,3,1,3,10,13960.09533
2014,1,21,4,1.1,76,6.5,337,0,0,30,0,1,3,10,16525.758
2014,1,21,5,0.3,81,5.5,337,0,0,30,0,1,3,10,17553.42633
2014,1,21,6,0.1,81,5.3,340,0,0,20,0,1,3,10,18577.05733
2014,1,21,7,0.3,76,4,339,0,0,20,0,1,3,10,18675.26967
2014,1,22,0,3.3,63,4.1,343,0,0,20,0,0.5,3,10,19031.66633
2014,1,22,1,3.8,61,3.1,341,0,0,20,0,0.5,3,10,19081.135
2014,1,22,2,5.1,57,4.3,334,0,0,10,0,0.5,2,10,10828.36333
2014,1,22,3,3.9,62,4.3,336,0,0,10,0,0.5,2,10,4452.641
2014,1,22,4,2.1,65,3.3,342,0,0,11,0,0.5,2,10,10653.43867
2014,1,22,5,1.6,70,3.5,349,0,0,0,0,0.5,1,10,13509.68367
2014,1,22,6,1.8,75,2.6,346,0,0,0,0,0.5,1,10,4156.499333
2014,1,22,7,0.7,75,2.7,338,0,0,0,0,0.5,1,10,4683.274667
2014,1,23,0,4.2,65,2.6,318,0,0,0,0,0.5,1,10,5909.039667
2014,1,23,1,8.1,55,2,312,0,0,0,0,0,1,10,7491.054667
2014,1,23,2,10,55,1.4,359,0,0,0,0,0,1,10,5897.616333
2014,1,23,3,7,65,1.4,14,0,0,0,0,0,1,9.666666667,2493.863667
2014,1,23,4,4.5,65,2.3,317,0,0,10,0,0,2,7.944444444,382.066
2014,1,23,5,4.8,70,2.7,238,0,0,10,0,0,2,0.888888889,16.69333333
2014,1,23,6,4.1,70,3,247,0,0,10,0,0,2,0.111111111,2.213666667
2014,1,23,7,6.1,70,3.4,229,0,0,10,0,0,2,3.388888889,452.9616667
2014,1,24,0,10.4,70,3.3,219,0,0,10,0,0.5,2,10,6150.461
2014,1,24,1,12.2,65,3,203,0,0,10,0,0.5,2,10,9956.023
2014,1,24,2,13.1,65,4.2,211,0,0,10,0,0.5,2,9.666666667,4439.599667
2014,1,24,3,12.2,70,4.8,208,0,0,20,0,0.5,3,10,13533.32767
2014,1,24,4,11,70,3.8,208,0,0,20,0,0.5,3,10,16966.83567
2014,1,24,5,11,70,3.9,200,0,0,20,0,0.5,3,10,15193.275
2014,1,24,6,13.2,70,3.6,210,0,0,20,0,1,3,7.277777778,3434.946667
2014,1,24,7,14.2,65,4.7,215,0,0,30,0,1,4,10,9657.786333
2014,1,25,0,15.2,70,5.2,201,0,0,30,0,1.5,4,10,12635.19767
2014,1,25,1,16.200001,75,4.8,214,0,0,30,0,1,4,10,18579.60333
2014,1,25,2,16.200001,80,4.9,250,1,0,62,1,1,4,9.611111111,10195.40933
2014,1,25,3,14,75,4.9,300,0,0,30,0,1,4,6.055555556,4208.603
2014,1,25,4,9.1,65,5.4,326,0,0,20,0,1,3,9.5,12705.52767
2014,1,25,5,7,65,4.4,334,0,0,20,0,1,3,8.611111111,4941.644333
2014,1,25,6,5.9,59,4.4,337,0,0,10,0,1,2,8.666666667,8722.304333
2014,1,25,7,4.9,55,4.4,340,0,0,10,0,1,2,9,16533.81367
2014,1,26,0,4.8,57,6.2,344,0,0,10,0,1,2,8.888888889,17289.04833
2014,1,26,1,6.8,47,6.2,344,0,0,0,0,1,1,9,16622.37033
2014,1,26,2,7.8,47,6.1,344,0,0,0,0,1,1,9,17276.301
2014,1,26,3,6,52,5.2,351,0,0,0,0,1,1,9,15795.50167
2014,1,26,4,3.4,52,2.3,9,0,0,0,0,0.5,1,9,11505.46967
